Codigo,Descripcion,Categoria,StockPrincipal,StockProduccion,StockTransformacion,CantidadPorCaja,NumeroCajas,Ubicacion,FechaExpedicion,DiasParaExpirar,FechaExpiracion,Proveedor,UltimaOrden,Detalles
LGOIR-TOOL25,SPEED ROLLER,USINE,1,,,1,1,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-ACCESORY1,DEBURRING BLADES,USINE,23,,,1,23,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-DRILL/SPARE25,"ROUTER BIT/MECHE DE TOUPIE 3/8""",USINE,1,,,1,1,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-DRILL/SPARE26,FRAISE A DEBOURER,USINE,6,,,1,6,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-DRILL/SPARE27,MECHE # 28,USINE,1,,,1,1,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-LUBRICANT 3,LUBRICANT/PENETRANT WD-40,USINE,2,,,1,2,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-WIRE7,ANCIEN TRANSFO WA-110 10 AMP 4 TWIN PLUG 110/24,ELECTRIQUE,1,,,1,1,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-WIRE8,ANCIEN TRANSFO WA-110 10AMP 120/24,ELECTRIQUE,1,,,1,1,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-LITTLE PIECE10,#10 -24 X 3/8 VIS D'ARRET PTE PLAT,EXTRUSION,500,,,100,5,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-LITTLE PIECE11,"#10-24 UNC X 1"" VIS MACHINE T. RONDE COMBINEE/CARREE ZINC",EXTRUSION,5000,,,100,50,E5C,XX,,,N/A,,
LGOIR-LITTLE PIECE12,#10-24X 3/8 POINT CONIQUE VIS D'ARRET,EXTRUSION,3500,,,1,3500,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-LITTLE PIECE13 Desormeau VMPCZ10240050,#10-24 UNC X 1/2 VIS MACHINE T. PLATE CARREE ZINC,EXTRUSION,1500,,,1,1500,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-LITTLE PIECE14,#10-24 UNC X 3/4 VIS MACHINE T.PLATE CARRE ZINC,EXTRUSION,1000,,,1,1000,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-LITTLE PIECE15  Desormeau 6SCOCN8320025,#8-32 UNC X 1/4 VIS D'ARRET PTE CONIQUE NOIR,EXTRUSION,5000,,,1,5000,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-LITTLE PIECE16,10-24 LOCK NUT GR 5 ZC,FINITION,377,,,1,377,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-OLD1,"JOINT CONNECTOR BOLT-LOW PROFILE HEAD WITH SHOULDER (5mm HEX DRIVE) 1/4""-20 UNC THREAD X 40mm LGTH UNDER HEAD, STEEL BLACK OXIDE FINISH(SEE THROUG A L'ANCIENNE)",SPECIAL,215,,,1,215,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,,,N/A,,
LGOIR-LITTLE PIECE17,NUT 8-32,FINITION,500,,,1,500,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-LITTLE PIECE 29442,VIS 8-32 X 5/8 MECHANIQUE MS ETOILE TETE PLAT / PHILLIPS DRIVE FLAT HEAD ZINC STEEL MACHINE  SCREW  29442,USINE,500,,,1000,0.5,ARMOIRE AVEC CLE,XX,,,FASTEANL,46078,
LGOIR-LITTLE PIECE19,#10-24 UNC X 7/16 VIS D'ARRET A 6 P/C PTE CONIQUE NOIR,EXTRUSION,800,,,1,800,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-LITTLE PIECE20,10-24 X3/8 POINTE PLAT VIS D'ARRET ,EXTRUSION,500,,,1,500,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-SPARES/CARPENTEER6," 16 GAUGE GALV CHISEL POINT MEDIUM CROWN STAPLES 7/16""(11mm) 1-1/2"" LENGTH(38mm).",CRATAGE,60000,,,10000,6,"G,CRATAGE",XX,,,N/A,,
LGOIR-TAPE10,ACRYLIC ADHESIVE TAPE( BOXING TAPE),USINE,148,,,36,4.11111111,J,XX,,,N/A,,
18-ROSE-SUP-T1-40,SUPPORT  ROSETTE EXTERIEURE T1 FINI NATUREL,CHANTIER/USINE,13093,,,1,13093,E1R,XX,,,N/A,,
18-ROSE-SUP-T4-40,ROSETTE SUPPORT ALUMINIUM(EXTRUSION MACHINEE),CHANTIER/USINE,1207,,,1,1207,"E3R, BOX 18 BIN 2(411)",XX,,,N/A,,
LGOIR-TOOL26,MINI BOLT CUTTER/MINI COUPE-BOULON,USINE,1,,,1,1,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-WIRE9, YELLOW JACKET EXTENSION DE COURANT DE 6 PRISES,ELECTRIQUE,1,,,1,1,ARMOIRE DU M. ELECTRIQUE,XX,,,N/A,,
LGOIR-SPARE2,FILTRE POUR ASPIRATEURS,USINE,9,,,2,4.5,ARMOIRE DU M. ELECTRIQUE,XX,,,N/A,,
LGOIR-WIRE10,"CONNECTEUR VERTICAL MOLEX 10 SORTTIES @ 14""",ELECTRIC,9,,,1,9,ARMOIRE DU M. ELECTRIQUE,XX,,,N/A,,
LGOIR-PACKING4,ROULEAUX DE CARTON ONDULE/CORRUGATED CARDBOARD ROLL,USINE,2,,,1,2,"CONTAINER DU FOND, CRATAGE",XX,,,ULINE,46086,
LGOIR-INK,TOUCH UP LIGHT BRONZE,USINE,10,,,1,10,KEITH'S OFFICE,XX,,,N/A,,
FD-12S-18-MF-05/ 18-FDFF-112-18-SE,"CONNECTEUR VERTICAL MOLEX 5 SORTIES @ 12""",ELECTRIQUE,2,,,1,2,ARMOIRE DU M. ELECTRIQUE,XX,,,N/A,,
LGOIR-LIQUID14,CLAIRE DUST UP( DUST MOP TREATMENT /TRAITEMENT POUR VADROUILLES,USINE,7,,,1,7,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-PASTE20,KWIK SEAL ADHESIVE CAULK/CALFEURANT ADHESIF WHITE/BLANC,USINE,2,,,1,2,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-LIQUID 15,JIG-A -LOO LUBRIFIANT TOUT USAGE/ ALL AROUND LUBRIFIANT,USINE/CHANTIER,13,,,1,13,"ETOPC,ARMOIRE SANS CLE",XX,,,N/A,,
LGOIR-BETON/MARBLE12,"WEDGE BOLT 1/2""-13X2-3/4""",CHANTIER,8,,,1,8,E6L,XX,,,N/A,,
LGOIR-BETON/MARBLE13,"MANCHON ANCRAGE 1/2-13X2""",CHANTIER,3,,,1,3,CONTAINER CHANTIER,XX,,,N/A,,
LGOIR-BETON/MARBLE14,"OUTIL INSTAL ANCRAGES PROFONDS 1/2""",CHANTIER,1,,,1,1,CONTAINER CHANTIER,XX,,,N/A,,
LGOIR-PROTECTION14,CUT RESISTANT  HPPE SLEEVE BLACK/MANCHES DE PROTECTION NOIR,USINE,14,,,1,14,ETOPC,XX,,,N/A,,
LGOIR-PROTECTION15,CUT RESISTANT  SLEEVE WHITE/MANCHES DE PROTECTION BLANCHES,USINE,160,,,40,4,ETOPC,XX,,,N/A,,
LGOIR-PACKING5,"ROULEAUX DE FILM DE POLYETHYLENE RENFORCE– 6 mil, 20 pi x 100 pi",CRATAGE,8,,,1,8,CRATAGE,XX,,,ULINE,Waiting,
LGOIR-PLASTIC/ACCESORY11,BLACK BTN PLUG,USINE ,18660,,,5000,3.732,ETOPC,XX,,,N/A,,
LGOIR-SPARE/CARPENTEER7,WIRE WELD COIL NAILS/ CLOUS EN BOBINE N04-205P,CRATAGE,31500,,,4500,7,"G,CRATAGE",XX,,,N/A,,
LGOIR-LITTLE PIECE/PACKING21,STEEL STRAPPING SEALS  S-828 3/4 OPEN METAL SEALS ,CRATAGE,5000,,,1000,5,G,XX,,,N/A,,
LGOIR-TOOL9910,POIGNEE DE DRILL,USINE,3,,,1,3,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-CARPEINTEER8,"PLYWOOD 3/4"" X 4' X 8' ",CRATAGE/CHANTIER/USINE,25,,,1,25,CRATAGE,XX,,,N/A,,
LGOIR-CARPEINTEER9,"PLYWOOD 3/8""",FNINITON/CRETAGE,21,,,1,21,CRETAGE,XX,,,LEFEBVRE ET BENOIT,46093,
18-FEPL-408-58-GR,FEUILLES DE PLASTIQUE RECYCLE,CRATAGE,66,,,35,1.88571429,CRATAGE,XX,,,N/A,,
LGOIR-TOOL7710,"HIGH CONTRAST SQUARE 7""/EQUERRE A HAUT CONTRASTE 7""",USINE,1,,,1,1,ARMOIRE AVEC CLE,XX,,,N/A,,
18-TRAO-24V-5A-SE,TRANSFO LED 120W 24V 4 SORTIES (vieu connecteur),ELECTRIC,7,,,1,7,ARMOIRE DU M. ELECTRIQUE,XX,,,N/A,,
LGOIR-MISC1,"2"" X 75' WHITE VELCRO STRIPS HOOKS TAPE",ORGANIZATION,1,,,1,1,ARMOIRE DU M. ELECTRIQUE,XX,,,N/A,,
LGOIR-MISC2,BLACK STICKY BACK FASTENERS/ATTACHES AUTOCOLLANTES,ORGANIZATION,1,,,1,1,ARMOIRE DU M. ELECTRIQUE,XX,,,N/A,,
LGOIR-MISC3,TAPIS DE PROTECTION DE NICHE 11x11 NOIR,FINITION,10043,,,300,33.4766667,"ETOPC, CONTAINEUR AVEC RIDEAUX, BOX 22",XX,,,N/A,,
18-SNPB-VIS-XX-ZC,VIS A BOIS 10 X 5/8 TETE RONDE CARRE POUR SUPPORT NIVELEUR POUR BASE-VIS-MILL FINISH,CRATAGE,6352,,,8000,0.794,E5C,XX,,,N/A,,
LGOIR-LITTLE PIECE/SPARE22,MECHE 3MM/BIT 3MM,EXTRUSION,116,,,1,116,ARMOIRE AVEC CLE T2,XX,,,N/A,,
LGOIR-LITTLE PIECE/SPARE23,MECHE 2MM/BIT 2MM,EXTRUSION,90,,,1,90,ARMOIRE AVEC CLE T2,XX,,,N/A,,
LGOIR-LITTLE PIECE/SPARE24,"POWER BIT HEX 3/32"" , 2""",EXTRUSION,25,,,1,25,ARMOIRE SANS CLE,XX,,,TENAQUIP,46101,
LGOIR-LITTLE PIECE/SPARE25,MECHE TX-25,USINE,33,,,1,33,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-LITTLE PIECE/SPARE26,MECHE-TX15,USINE,56,,,1,56,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-CARPENTEER10,"VIS A BOIS # 8 X 5/8 T. PLATE, PR.CAR.ZINC",FINITION,1000,,,100,10,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-LITTLE PIECE27, #8-32 UNC X1/2 VIS MACHINE T. RONDE COMBINEE ZINC,FINITION,200,,,100,2,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-PACKING6,"ROULEAUX DE FILM DE POLYETHYLENE RENFORCE– 6 mil, 12 pi x 100 pi",CRATAGE,2,,,1,2,CRATAGE,XX,,,ULINE,46086,
LGOIR-SECURITY3,CADENAS/PADLOCKS 5KABLU/ KEY2126,CHANTIER,10,,,450,0.02222222,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-BAK,CROCHET DE ALUMINIUM HORS ACUMATICA,ASSEMBLAGE,2,,,450,0.00444444,E1R,XX,,,N/A,,
LGOIR-OUTSIDE1,SEL DEGLACANTE,USINE,32,,,,#¡DIV/0!,DEHORS,XX,,,N/A,,
LGOIR-CLEANING,GUENILLES  DE LINGES,USINE,4,,,,4,J,XX,,,N/A,,
LGOIR-DRILL28,21/64 HSS JOBBER DRILL SPLIT POINT BLACK AND GOLD,USINE,8,,,,8,ARMOIRE SANS CLE,XX,,,N/A,,
18-ANGL-202-025-01,"Quincaillerie - Angle Métal 90 degrés - 2"" x 2"" x 1/2"" - Mill Finish",QUINCAILLERIE/EXTRUSION,1310,,,,1310,BOX 18,XX,,,N/A,,
18-ANPB-075-XX-ZC,"CORNIERE DE METAL/ STEEL BRACKET / EQUERRE METAL 75mm x 75mm MILL FINISH(ZINC) 3"" X 3"" 8cm",QUINCAILLERIE,400,,,,4,E3L,XX,,,N/A,,
18-ANPB-050-XX-ZC,"CORNIERE DE METAL/ STEEL BRACKET / EQUERRE METAL 50mm x 50mm MILL FINISH(ZINC) 2"" X 2"" 5cm",QUINCAILLERIE,600,,,,6,E3L,XX,,,N/A,,
18-SNPB-080-XX-ZC,SUPPORT NIVELEUR POUR BASE-080mm-MILL FINISH(BASE TOP PATTES),QUINCAILLERIE,116,,,,2.32,CRETAGE,XX,,,N/A,,
18-SNPB-100-XX-ZC,SUPPORT NIVELEUR POUR BASE-100mm-MILL FINISH(BASE TOP PATTES),QUINCAILLERIE,1396,,,,27.92,CRETAGE,XX,,,RICHELIEU,46099,
18-SNPB-090-XX-ZC,SUPPORT NIVELEUR POUR BASE-090mm-MILL FINISH(BASE TOP PATTES),QUINCAILLERIE,490,,,,9.8,CRETAGE,XX,,,N/A,,
18-ANGL-101-125-01,"ANGLE METAL 1"" X 1"" X 1/8"" MILL FINISH",QUINCAILLERIE,215,,,,1.075,A1,XX,,,MAGNA,,
18-ANGL-151-125-01,"ANGLE METAL -1 1/2"" X 1 1/2"" X 1/8  MILL FINISH",QUINCAILLERIE,178,,,,2.37333333,"A1, ATOP",XX,,,N/A,,
18-FOMT-38S-25-NO,"FOAMTAPE 3/8"" X 25'",EXTRUSION,6400,,,,4,EXTRUSION,XX,,,N/A,,
18-STRP-003-10-01,"STRIPS DE DOS - 3"" X 10.0' MILL FINISH",QUINCAILLERIE,1138,,,,1138,"BIN 1, CONTAINER AVEC PORTES",XX,,,MMS,46097,
18-TIGF-124-10-01,TIGE FILLETE - 10-24 X10.0' MILL FINISH,FINITION,144,,,,2.88,"E1C,A COTE DE L'ESCALIER",XX,,,FASTENAL,46085,
LGOIR-PEINT1,FLITRE POUR CABINE DE PEINTURE/HOBBY AIRBRUSH BOOTH FILTER,FINITION,12,,,,3,ETOPC,XX,,,N/A,,
18-VTRX-124-78-XX,"VIS TORX NATUREL 10-24 X 7/8""",CHANTIER,4000,,,,1,BOX 19,XX,,,N/A,,
18-VTRX-124-12-XX,"VIS TORX NATUREL 10-24 X 1/2""",CHANTIER,0,,,,0,X,XX,,,N/A,,
18-VCMC-124-78-02,"VIS CMC BRONZE 10-24 X 7/8""",CHANTIER,560,,,,0.81277213,E1R,XX,,,N/A,,
18-VTRX-832-12-04,"VIS TORX MARBLE 8-32 X 1/2""",CHANTIER,508,,,,7.36231884,E5C,XX,,,N/A,,
18-VTRX-124-78-04,"VIS TORX MARBLE 10-24 X 7/8""",CHANTIER,97,,,,1,E5C,XX,,,N/A,,
18-VTRX-124-12-NO,"VIS TORX NOIR 10-24 X 1/2""",CHANTIER,10252,,,,189.851852,BOX 21,XX,,,N/A,,
18-VTRX-832-12-02,VIS TORX BRONZE 8-32 X 1/2,CHANTIER,218,,,,1,E5C,XX,,,N/A,,
18-VCMC-124-12-NO,"VIS CMC NOIR 10-24 X 1/2"" ",CHANTIER,5,,,,1,E5C,XX,,,N/A,,
LGOIR-PROTECTION16,RUBAN POUR MARCHES,USINE/SAFETY,2,,,,2,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-LITTLE PIECE28,"NUTSET WITH MAGNET 1/4"" X 5/8""",FINITION,32,,,,6.4,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-VABO-8-3,VIS A BOIS 8 X 3',CRATAGE,1500,,,,1,E1R,XX,,,N/A,,
18-ROSE-PCI-20-41-ANCIEN (DR81012.20BRZ),ROSETTE PYRAMIDAL FINI ANTIQUE BRONZE 2 PATTES COLEUR ANCIEN(SPECIAL),CHANTIER,68,,,,0.15111111,OUTSIDE BOX 6,XX,,,N/A,,
18-ROSE-PCI-40-41-ANCIEN (DR81012.40BRZ),ROSETTE PYRAMIDAL FINI ANTIQUE BRONZE 4 PATTES COLEUR ANCIEN(SPECIAL),CHANTIER,305,,,,0.67777778,BOX 6,XX,,,N/A,,
FD-12S-18-MF-10/ 18-FDFF-112-18-SE,"CONNECTEUR VERTICAL MOLEX 10 SORTIES @ 12""",ELECTRIQUE,2,,,,2,ARMOIRE ELECTRIQUE,XX,,,N/A,,
LGOIR-ang-cha-coin 1,"ANGLE SUPPORT 2"" X 2"" FOR PLASTIC BASE (COIN VITRE)",CHANTIER,781,,,,0.781,BOX 27,XX,,,N/A,,
LGOIR-DRILL2018,"DRILL AND COUNTER SINK  1/8""/MECHE AVEC FRAISE",USINE,0,,,,0,DESK,XX,,,N/A,,
LGOIR-SPARE14,VIGIL LIGHT FILS SPARE,ELECTRIQUE,14,,,,14,ARMOIRE ELECTRIQUE,XX,,,N/A,,
LGOIR-LITTLE PIECE91,"#10-24 UNC X .257"" SHORT LGT BRASS PLAIN (REPARATION D'EXTRUTION)",USINE/EXTRUTION,200,,,,2,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-TOOL-SCIS-MET01,STRAIGHT CUT AVIATION SNIP/CISAILLE D'AVIATION-COUPE RECTILIGNE (WISS),USINE,2,,,,2,ARMOIRE AVEC CLE T3,XX,,,N/A,,
LGOIR-TOOL6610,"HIGH CONTRAST SQUARE 12""/EQUERRE A HAUT CONTRASTE 12""",USINE,1,,,,1,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-LITTLEPIECE,STRIPPER BLADES/LAMES A DECAPER,USINE,2,,,,2,ARMOIRE AVEC CLE T1,XX,,,N/A,,
LGOIR-TOOL5610,EQUERRE JOHNSON/SQUARE JOHNSON,USINE,1,,,,1,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-BETON4,"TAPCON 1/4 X 8""",CHANTIER,50,,,,1,ARMOIRE AVEC CLE,XX,,,N/A,,
18-VTRX-124-01-XX,"VIS TORX NATUREL 10-24 X 1""",CHANTIER,100,,,,1,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-WH451,WASHER 5/8,CHANTIER,172,,,,172,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,,,N/A,,
LGOIR-HX12461,HEX NUT PETIT DE 3/8,SHEAR,182,,,,182,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,,,N/A,,
LGOIR-VS702345,10-24 UNC 1/2 VIS MACHINE T.PLATE,USINE,948,,,,9.48,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,,,N/A,,
LGOIR-HXDDF65213,GRADE 2 HEX NYLON INSERT LOCK NUTS,USINE,85,,,,85,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,,,N/A,,
LGOIR-S51245,SAE FLAT WASHERS,USINE,100,,,,100,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,,,N/A,,
LGOIR-BO194,307 A CARRIAGE BOLT 2P 3/8 - 16 X 2,USINE,35,,,,35,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,,,N/A,,
LGOIR-V134734S,VIS MECANIQUE 10-24 X 1/2 FLAT SOCKET,USINE,400,,,,400,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,,,N/A,,
LGOIR-V134780946D,10-24 X 3/8 FLAT PT SOCKET SET SCREW,USINE,1086,,,,1086,"BOITE TRANSPARENT PLASTIQUE CONT CHANT, ARMOIRE AVEC CLE T3",XX,,,N/A,,
LGOIR-VTNASDG1245,"VIS TORX NATUREL 10-24 X 1""",USINE,236,,,,236,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,,,N/A,,
LGOIR-STPRA351,SEE THROUGH POUR ROSETTES ANCIEN,USINE,73,,,,73,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,,,N/A,,
LGOIR-29914ASDFG,10-24 UNC 3/4 VIS MACHINE TETE PLATE CARRE ZINC,USINE,2633,,,,2633,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,,,N/A,,
LGOIR-VTP1512,8-32 UNC X 3/8 VIS D'ARRET 6 PTE CONIQUE ,USINE,1000,,,,1000,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,,,N/A,,
LGOIR-125233VT,VIS TORX BRONZE 10-24 7/8,USINE,111,,,,#¡DIV/0!,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,,,N/A,,
LGOIR-LC15NT,LOCK NUTS 5/16-18,USINE,47,,,,47,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,,,N/A,,
LGOIR-ANC152MACH,ANCRAGE DE LA MACHINE  (MAKO),USINE,1,,,,1,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,,,N/A,,
LGOIR-125FQ5GA,CALK IN 10 X 24 MCM,USINE,16,,,,16,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,,,N/A,,
18-TRAM-24V-1A-SE,Transformateur - 24V - 120W - 0.5Amps -1 sortie MOLEX (SEP),CHANTIER,31,,,,31,ARMOIRE ELECTRIQUE,XX,,,N/A,,
18-BLED-200-4K-06-SE,BARRE DE LED 06 4000K,CHANTIER,96,,,,1.92,ARMOIRE ELECTRIQUE,XX,,,N/A,,
18-BLED-200-4K-10-SE,BARRE DE LED 10 4000K,ELECTRIQUE,99,,,,1.98,ARMOIRE ELECTRIQUE,XX,,,N/A,,
18-RLED-200-4K-03-SE,"RONDELLE LED  3""  4000K",ELECTRIQUE,1,,,,0.02,ARMOIRE ELECTRIQUE,XX,,,N/A,,
18-ROSE-PCI-00-42,ROSETTE PYRAMIDAL 4 PATTES FINI ETAIN,CHANTIER,100,,,,0.22222222,BOX 27,XX,,,N/A,,
LGOIR-CHV-02,CACHE VIS ARGENT,EXTRUSION,248,,,,248,ARMOIRE AVEC CLE T2,XX,,,N/A,,
18-CMCA-01S-10-01,"Extrusion 1 1/2"" - CMCA-01 - Standard 10,5' - Mill Finish",EXTRUSION,16,,,,0.05333333,BIN 2,XX,,,N/A,,
18-CMCA-01S-10-03,"Extrusion 1 1/2"" - CMCA-01 - Standard 10,5' - Dark Bronze",EXTRUSION,122,,,,0.40666667,BIN 2,XX,,,N/A,,
18-CMCA-01S-10-04,"Extrusion 1 1/2"" - CMCA-01 - Standard 10,5' - Gold",EXTRUSION,184,,,,0.61333333,BIN 2,XX,,,N/A,,
18-CMCA-01S-10-07,"Extrusion 1 1/2"" - CMCA-01 - Standard 10,5' - Noir",EXTRUSION,32,,,,0.10666667,BIN 2,XX,,,N/A,,
18-CMCA-01S-21-01,"Extrusion 1 1/2"" - CMCA-01 - Standard 21,0' - Mill Finish",EXTRUSION,14,,,,0.04666667,BIN 2,XX,,,N/A,,
18-CMCA-01S-21-02,"Extrusion 1 1/2"" - CMCA-01 - Standard 21,0' - Light Bronze",EXTRUSION,173,,,,0.57666667,BIN 2,XX,,,N/A,,
18-CMCA-01S-21-05,"Extrusion 1 1/2"" - CMCA-01 - Standard 21,0' - Champagne",EXTRUSION,117,,,,0.39,BIN 2,XX,,,N/A,,
18-CMCA-01S-21-06,"Extrusion 1 1/2"" - CMCA-01 - Standard 21,0' - Satin Clair",EXTRUSION,60,,,,0.2,BIN 2,XX,,,N/A,,
18-CMCA-01S-21-30,"Extrusion 1 1/2"" - CMCA-01 - Standard 21,0' - Bronze Antique",EXTRUSION,22,,,,0.07333333,BIN 2,XX,,,N/A,,
18-CMCA-02S-10-01,"Extrusion 0 5/8"" - CMCA-02 - Standard 10,5' - Mill Finish",EXTRUSION,273,,,,0.91,BIN 2,XX,,,N/A,,
18-CMCA-02S-10-02,"Extrusion 0 5/8"" - CMCA-02 - Standard 10,5' - Light Bronze",EXTRUSION,90,,,,0.3,BIN 2,XX,,,N/A,,
18-CMCA-02S-10-03,"Extrusion 0 5/8"" - CMCA-02 - Standard 10,5' - Dark Bronze",EXTRUSION,280,,,,0.93333333,BIN 2,XX,,,N/A,,
18-CMCA-02S-10-04,"Extrusion 0 5/8"" - CMCA-02 - Standard 10,5' - Gold",EXTRUSION,480,,,,1.6,BIN 2,XX,,,N/A,,
18-CMCA-02S-10-05,"Extrusion 0 5/8"" - CMCA-02 - Standard 10,5' - Champagne",EXTRUSION,82,,,,0.27333333,BIN 2,XX,,,N/A,,
18-CMCA-02S-10-06,"Extrusion 0 5/8"" - CMCA-02 - Standard 10,5' - Satin Clair",EXTRUSION,114,,,,0.38,BIN 2,XX,,,N/A,,
18-CMCA-02S-10-07,"Extrusion 0 5/8"" - CMCA-02 - Standard 10,5' - Noir",EXTRUSION,0,,,,0,BIN 2,XX,,,N/A,,
18-CMCA-02X-12-02,"Extrusion 0 5/8"" - CMCA-02 - Coupe Interne SHOP 12"" - Light Bronze",EXTRUSION,747,,,,2.49,BIN 2,XX,,,N/A,,
18-CMCA-02X-12-03,"Extrusion 0 5/8"" - CMCA-02 - Coupe Interne SHOP 12"" - Dark Bronze",EXTRUSION,0,,,,0,BIN 2,XX,,,N/A,,
18-CMCA-02X-12-04,"Extrusion 0 5/8"" - CMCA-02 - Coupe Interne SHOP 12"" - Gold",EXTRUSION,94,,,,0.31333333,BIN 2,XX,,,N/A,,
18-CMCA-02X-14-02,"Extrusion 0 5/8"" - CMCA-02 - Coupe Interne SHOP 14"" - Light Bronze",EXTRUSION,0,,,,0,BIN 2,XX,,,N/A,,
18-CMCA-03S-10-01,"Extrusion 1 1/2"" - CMCA-03 - Standard 10,5' - Mill Finish",EXTRUSION,43,,,,0.14333333,BIN 2,XX,,,N/A,,
18-CMCA-03S-10-04,"Extrusion 1 1/2"" - CMCA-03 - Standard 10,5' - Gold",EXTRUSION,151,,,,0.50333333,BIN 2,XX,,,N/A,,
18-CMCA-03S-10-05,"Extrusion 1 1/2"" - CMCA-03 - Standard 10,5' - Champagne",EXTRUSION,6,,,,0.02,BIN 2,XX,,,N/A,,
18-CMCA-03S-21-01,"Extrusion 1 1/2"" - CMCA-03 - Standard 21,0' - Mill Finish",EXTRUSION,47,,,,0.15666667,BIN 2,XX,,,N/A,,
18-CMCA-03S-21-02,"Extrusion 1 1/2"" - CMCA-03 - Standard 21,0' - Light Bronze",EXTRUSION,149,,,,0.49666667,BIN 2,XX,,,N/A,,
18-CMCA-03S-21-03,"Extrusion 1 1/2"" - CMCA-03 - Standard 21,0' - Dark Bronze",EXTRUSION,12,,,,0.04,BIN 2,XX,,,N/A,,
18-CMCA-03S-21-06,"Extrusion 1 1/2"" - CMCA-03 - Standard 21,0' - Satin Clair",EXTRUSION,8,,,,0.02666667,BIN 2,XX,,,N/A,,
18-CMCA-03S-21-30,"Extrusion 1 1/2"" - CMCA-03 - Standard 21,0' - Bronze Antique",EXTRUSION,15,,,,0.05,BIN 2,XX,,,N/A,,
18-CMCA-04S-10-01,"Extrusion 1 1/2"" - CMCA-04 - Standard 10,5' - Mill Finish",EXTRUSION,250,,,,0.83333333,BIN 2,XX,,,N/A,,
18-CMCA-04S-10-03,"Extrusion 1 1/2"" - CMCA-04 - Standard 10,5' - Dark Bronze",EXTRUSION,106,,,,0.35333333,BIN 2,XX,,,N/A,,
18-CMCA-04S-10-04,"Extrusion 1 1/2"" - CMCA-04 - Standard 10,5' - Gold",EXTRUSION,199,,,,0.66333333,BIN 2,XX,,,N/A,,
18-CMCA-04S-10-05,"Extrusion 1 1/2"" - CMCA-04 - Standard 10,5' - Champagne",EXTRUSION,6,,,,0.02,BIN 2,XX,,,N/A,,
18-CMCA-04S-21-01,"Extrusion 1 1/2"" - CMCA-04 - Standard 21,0' - Mill Finish",EXTRUSION,231,,,,0.77,BIN 2,XX,,,N/A,,
18-CMCA-04S-21-02,"Extrusion 1 1/2"" - CMCA-04 - Standard 21,0' - Light Bronze",EXTRUSION,153,,,,0.51,BIN 2,XX,,,N/A,,
