Codigo,Descripcion,Categoria,StockPrincipal,StockProduccion,StockTransformacion,CantidadPorCaja,NumeroCajas,Ubicacion,FechaExpedicion,DiasParaExpirar,FechaExpiracion,Proveedor,UltimaOrden,Detalles,Id,StockMinimo,StockMaximo,VidaUtilMeses,Notas,LotesJson
LGOIR-LITTLE PIECE8 Desormeau 6scocn8320038,#8-32 UNC X 3/8 VIS D'ARRET A 6 P/C PTE CONIQUE NOIR,EXTRUSION,5000,0,0,1000,5,ARMOIRE AVEC CLE,XX,0,,N/A,,,1417,5,100,0,,[]
LGOIR-PROTECTION13,GANTS BLEU NITRILE/ BLUE NITRILE GLOVES MEDIUM,USINE,85,0,0,25,3.4,ARMOIRE SANS CLE,XX,0,,N/A,,,1418,5,100,0,,[]
LGOIR-UNION-12-MM,"RALLONGE DE TRASNFO 12"" M-M",CHANTTIER/ELECTRIQUE,0,0,0,1,0,ARMOIRE DU M. ELECTRIQUE,XX,0,,N/A,,,1419,5,100,0,,[]
LGOIR-TOOL19,SILVER BLACK CENTER PUNCHWITH TIPS,USINE,3,0,0,1,3,ARMOIRE SANS CLE,XX,0,,N/A,,,1420,5,100,0,,[]
LGOIR-GLUE1,WOOD GLUE- COLLE A BOIS 150 ML,USINE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,1421,5,100,0,,[]
LGOIR-GLUE2,SUPER GLUE - SUPER COLLE 20 ML,USINE,4,0,0,1,4,ARMOIRE SANS CLE,XX,0,,N/A,,,1422,5,100,0,,[]
LGOIR-LITTLE PIECE9,"#8-32 UNC X 0.217"" SHORT LGT BRASS PLAIN (REPARATION D'EXTRUTION)",USINE/EXTRUTION,700,0,0,100,7,ARMOIRE AVEC CLE,XX,0,,N/A,,,1423,5,100,0,,[]
LGOIR-DRILL/SPARE7,MECHE 1/8,USINE,0,0,0,1,0,DESK,XX,0,,N/A,,,1424,5,100,0,,[]
LGOIR-DRILL/SPARE8,MECHE LONG 1/4,USINE,3,0,0,1,3,ARMOIRE SANS CLE,XX,0,,N/A,,,1425,5,100,0,,[]
LGOIR-DRILL/SPARE9,MECHE 10-24 UNC H3 2 FLUTE DRILL'N'TAP,USINE,30,0,0,1,30,ARMOIRE AVEC CLE,XX,0,,N/A,,,1426,5,100,0,,[]
LGOIR-DRILL/SPARE10,MECHE BLUE WIZARD 10-24,USINE,5,0,0,1,5,ARMOIRE SANS CLE,XX,0,,N/A,,,1427,5,100,0,,[]
LGOIR-DRILL/SPARE11,MECHE ANSI STUB DRILL # 25,USINE,26,0,0,1,26,ARMOIRE SANS CLE,XX,0,,N/A,,,1428,5,100,0,,[]
LGOIR-DRILL/SPARE12,TAP MECHE BLUE MERLIN 8-32,USINE,24,0,0,1,24,ARMOIRE SANS CLE,XX,0,,McMASTER,46093,,1429,5,100,0,,[]
LGOIR-DRILL/SPARE13,TAP MECHE BLUE MERLIN 10-24,USINE,19,0,0,1,19,ARMOIRE SANS CLE,XX,0,,N/A,,,1430,5,100,0,,[]
LGOIR-DRILL/SPARE14,MECHE #8-32 UNC H3 2 FLUTE DRILL'N'TAP,USINE,20,0,0,1,20,ARMOIRE AVEC CLE,XX,0,,N/A,,,1431,5,100,0,,[]
LGOIR-DRILL/SPARE15,MECHE ANSI STUB DRILL # 29,USINE,42,0,0,1,42,ARMOIRE SANS CLE,XX,0,,N/A,,,1432,5,100,0,,[]
LGOIR-DRILL/SPARE16,"HSS SPIRAL POINT TAP 1/4""-20",USINE,6,0,0,1,6,ARMOIRE SANS CLE,XX,0,,N/A,,,1433,5,100,0,,[]
